filename,fold,target,category,src_file,take
1-100032-A-0.wav,1,0,dog,100032,A
1-110389-A-0.wav,1,0,dog,110389,A
1-116765-A-41.wav,1,41,chainsaw,116765,A
1-17150-A-12.wav,1,12,crackling_fire,17150,A
1-172649-A-40.wav,1,40,helicopter,172649,A
1-172649-B-40.wav,1,40,helicopter,172649,B
1-172649-C-40.wav,1,40,helicopter,172649,C
1-172649-D-40.wav,1,40,helicopter,172649,D
1-172649-E-40.wav,1,40,helicopter,172649,E
1-172649-F-40.wav,1,40,helicopter,172649,F
1-17367-A-10.wav,1,10,rain,17367,A
1-17565-A-12.wav,1,12,crackling_fire,17565,A
1-17742-A-12.wav,1,12,crackling_fire,17742,A
1-17808-A-12.wav,1,12,crackling_fire,17808,A
1-17808-B-12.wav,1,12,crackling_fire,17808,B
1-181071-A-40.wav,1,40,helicopter,181071,A
1-181071-B-40.wav,1,40,helicopter,181071,B
1-187207-A-20.wav,1,20,crying_baby,187207,A
1-19898-A-41.wav,1,41,chainsaw,19898,A
1-19898-B-41.wav,1,41,chainsaw,19898,B
1-19898-C-41.wav,1,41,chainsaw,19898,C
1-211527-A-20.wav,1,20,crying_baby,211527,A
1-211527-B-20.wav,1,20,crying_baby,211527,B
1-211527-C-20.wav,1,20,crying_baby,211527,C
1-21189-A-10.wav,1,10,rain,21189,A
1-21934-A-38.wav,1,38,clock_tick,21934,A
1-21935-A-38.wav,1,38,clock_tick,21935,A
1-22694-A-20.wav,1,20,crying_baby,22694,A
1-22694-B-20.wav,1,20,crying_baby,22694,B
1-26143-A-21.wav,1,21,sneezing,26143,A
1-26222-A-10.wav,1,10,rain,26222,A
1-26806-A-1.wav,1,1,rooster,26806,A
1-27724-A-1.wav,1,1,rooster,27724,A
1-28135-A-11.wav,1,11,sea_waves,28135,A
1-28135-B-11.wav,1,11,sea_waves,28135,B
1-29561-A-10.wav,1,10,rain,29561,A
1-29680-A-21.wav,1,21,sneezing,29680,A
1-30226-A-0.wav,1,0,dog,30226,A
1-30344-A-0.wav,1,0,dog,30344,A
1-31748-A-21.wav,1,21,sneezing,31748,A
